u,v,key,osmid,highway,name,oneway,ref,reversed,length,geometry,lanes,maxspeed,bridge,tunnel,width,access,traffic
473462993,1891432787,0,538982927,trunk,中央通り,True,15,False,130.192120387644,"LINESTRING (139.7641027 35.6702856, 139.7640403 35.6702234, 139.7632507 35.6694831, 139.7632147 35.6694494, 139.7631623 35.6693984)",2,50,,,,,1
473470166,473470198,0,27695604,unclassified,並木通り,True,,False,86.816039370614,"LINESTRING (139.7666356 35.6746345, 139.7666878 35.6746848, 139.7671886 35.6751761, 139.7672485 35.6752359)",,,,,10,,1
473470166,510591085,0,95277526,unclassified,銀座柳通り,True,,False,45.702274276603,"LINESTRING (139.7666356 35.6746345, 139.7667032 35.6745867, 139.7670192 35.6743665)",,,,,,,1
473470182,1130958543,0,27695604,unclassified,並木通り,True,,False,60.7697217831212,"LINESTRING (139.7639598 35.6721016, 139.7640339 35.6721699, 139.7643949 35.6725184)",,,,,10,,1
473470182,473474084,0,884274229,primary,晴海通り,True,304,False,52.8469885192206,"LINESTRING (139.7639598 35.6721016, 139.7640245 35.6720555, 139.764397 35.6717858)",3,,,,,,1
473470198,499185617,0,690198419,tertiary,銀座桜通り,False,,True,25.3778221679246,"LINESTRING (139.7672485 35.6752359, 139.7673039 35.6752181, 139.7675105 35.6751535)",,,,,,,1
473470198,1105152922,0,690198420,tertiary,銀座桜通り,False,,False,48.0060433317254,"LINESTRING (139.7672485 35.6752359, 139.7671348 35.6752716, 139.7667528 35.6753916)",,,,,,,1
473470385,473462991,0,39629578,unclassified,みゆき通り,True,,False,42.6122329148944,"LINESTRING (139.7625609 35.6713659, 139.7628749 35.6711457, 139.762918 35.6711155)",,30,,,,,1
473470385,473470386,0,240595364,unclassified,,True,,False,131.760553686883,"LINESTRING (139.7625609 35.6713659, 139.7625117 35.6713385, 139.761656 35.6705146, 139.7616091 35.6704702)",,30,,,,,1
473470386,2135828611,0,33847144,unclassified,交詢社通り,True,,False,32.8635240561061,"LINESTRING (139.7616091 35.6704702, 139.7614323 35.6706003, 139.7613399 35.670669)",,,,,,,1
473470386,565362075,0,240595364,unclassified,,True,,False,128.238541307498,"LINESTRING (139.7616091 35.6704702, 139.7615808 35.6704424, 139.7607454 35.6696244, 139.7607027 35.6695826)",,30,,,,,1
473470387,304153030,0,27695605,unclassified,,True,,False,43.0822939623959,"LINESTRING (139.759953 35.6688783, 139.7602612 35.6686602, 139.7603126 35.6686238)",,,,,,,1
473470387,473470388,0,240595364,unclassified,,True,,False,91.7812880622355,"LINESTRING (139.759953 35.6688783, 139.7593454 35.668313, 139.7592915 35.6682522)",,30,,,,,1
473470388,2135828535,0,1025991803,tertiary,御門通り,True,,False,38.0228344723175,"LINESTRING (139.7592915 35.6682522, 139.7590623 35.6683283, 139.7589952 35.6683556, 139.7589482 35.6683774, 139.7589114 35.6683972)",,,,,,,1
473471533,473470385,0,39521243,unclassified,ソニー通り,True,,False,136.145555144083,"LINESTRING (139.7636015 35.6722088, 139.7635488 35.6722162, 139.7635123 35.6722146, 139.7634744 35.6721965, 139.7633795 35.672108, 139.7626152 35.6713957, 139.7625609 35.6713659)",,30,,,,,1
473471533,2135828639,0,539237085,primary,晴海通り,True,304,False,41.6901921538385,"LINESTRING (139.7636015 35.6722088, 139.7634237 35.672336, 139.7633779 35.6723679, 139.7632528 35.6724544)",3,,,,,,1
473471752,565362091,0,39521349,unclassified,数寄屋通り,True,,False,77.5205170956637,"LINESTRING (139.7618293 35.6718817, 139.7617852 35.6718413, 139.761411 35.6714977, 139.7612606 35.6713596)",,,,,,,1
473471752,2135828631,0,39629578,unclassified,みゆき通り,True,,False,47.5586639860122,"LINESTRING (139.7618293 35.6718817, 139.762143 35.6716654, 139.7622324 35.6716066)",,30,,,,,1
473474084,565362099,0,884274229,primary,晴海通り,True,304,False,25.3743524355106,"LINESTRING (139.764397 35.6717858, 139.7646035 35.6716311)",3,,,,,,1
